Date,Quantite,Quantite_capped
2021-10-20,1,1.0
2021-10-26,4,4.0
2021-10-29,29,29.0
2021-11-02,427,427.0
2021-11-03,64,64.0
2021-11-04,758,758.0
2021-11-16,9,9.0
2021-12-01,10,10.0
2021-12-07,46,46.0
2021-12-08,3,3.0
2021-12-21,49,49.0
2022-01-11,55,55.0
2022-03-01,1,1.0
2022-03-09,44,44.0
2022-03-17,1,1.0
2022-03-22,1,1.0
2022-03-31,8,8.0
2022-04-01,10,10.0
2022-05-02,40,40.0
2022-05-11,3,3.0
2022-05-28,1,1.0
2022-06-02,20,20.0
2022-06-10,2,2.0
2022-06-18,1,1.0
2022-06-30,869,869.0
2022-07-01,10233,9268.560000000107
2022-07-02,5388,5388.0
2022-07-04,17405,9268.560000000107
2022-07-05,436,436.0
2022-07-06,6,6.0
2022-07-07,5259,5259.0
2022-07-08,15065,9268.560000000107
2022-07-09,22620,9268.560000000107
2022-07-10,14097,9268.560000000107
2022-07-11,3400,3400.0
2022-07-12,4203,4203.0
2022-07-13,3950,3950.0
2022-07-14,20583,9268.560000000107
2022-07-15,11895,9268.560000000107
2022-07-16,3893,3893.0
2022-07-17,4763,4763.0
2022-07-18,1708,1708.0
2022-07-19,1765,1765.0
2022-07-20,1478,1478.0
2022-07-21,1651,1651.0
2022-07-22,1580,1580.0
2022-07-23,2289,2289.0
2022-07-24,178,178.0
2022-07-25,1170,1170.0
2022-07-26,1070,1070.0
2022-07-27,1565,1565.0
2022-07-28,113,113.0
2022-07-29,11,11.0
2022-07-30,6,6.0
2022-08-01,9,9.0
2022-08-02,14,14.0
2022-08-03,10,10.0
2022-08-04,1019,1019.0
2022-08-05,1396,1396.0
2022-08-06,2351,2351.0
2022-08-07,346,346.0
2022-08-08,1162,1162.0
2022-08-09,4072,4072.0
2022-08-10,6451,6451.0
2022-08-11,1165,1165.0
2022-08-12,919,919.0
2022-08-13,1131,1131.0
2022-08-14,118,118.0
2022-08-15,400,400.0
2022-08-16,924,924.0
2022-08-17,954,954.0
2022-08-18,1027,1027.0
2022-08-19,1021,1021.0
2022-08-20,1293,1293.0
2022-08-21,193,193.0
2022-08-22,788,788.0
2022-08-23,800,800.0
2022-08-24,799,799.0
2022-08-25,6650,6650.0
2022-08-26,1549,1549.0
2022-08-27,1630,1630.0
2022-08-28,201,201.0
2022-08-29,932,932.0
2022-08-30,1125,1125.0
2022-08-31,1232,1232.0
2022-09-01,1248,1248.0
2022-09-02,1347,1347.0
2022-09-03,2074,2074.0
2022-09-04,370,370.0
2022-09-05,867,867.0
2022-09-06,806,806.0
2022-09-07,1016,1016.0
2022-09-08,1111,1111.0
2022-09-09,1871,1871.0
2022-09-10,1976,1976.0
2022-09-11,224,224.0
2022-09-12,621,621.0
2022-09-13,553,553.0
2022-09-14,10863,9268.560000000107
2022-09-15,1003,1003.0
2022-09-16,1573,1573.0
2022-09-17,1652,1652.0
2022-09-18,328,328.0
2022-09-19,581,581.0
2022-09-20,35653,9268.560000000107
2022-09-21,45346,9268.560000000107
2022-09-22,924,924.0
2022-09-23,1174,1174.0
2022-09-24,1928,1928.0
2022-09-25,250,250.0
2022-09-26,4507,4507.0
2022-09-27,900,900.0
2022-09-28,1307,1307.0
2022-09-29,1059,1059.0
2022-09-30,1355,1355.0
2022-10-01,2291,2291.0
2022-10-02,242,242.0
2022-10-03,970,970.0
2022-10-04,677,677.0
2022-10-05,1977,1977.0
2022-10-06,1311,1311.0
2022-10-07,1381,1381.0
2022-10-08,1019,1019.0
2022-10-09,793,793.0
2022-10-10,7006,7006.0
2022-10-11,8243,8243.0
2022-10-12,6173,6173.0
2022-10-13,7792,7792.0
2022-10-14,1279,1279.0
2022-10-15,1003,1003.0
2022-10-16,168,168.0
2022-10-17,8199,8199.0
2022-10-18,8456,8456.0
2022-10-19,4633,4633.0
2022-10-20,6700,6700.0
2022-10-21,1073,1073.0
2022-10-22,951,951.0
2022-10-23,102,102.0
2022-10-24,4146,4146.0
2022-10-25,1744,1744.0
2022-10-26,7001,7001.0
2022-10-27,1668,1668.0
2022-10-28,1670,1670.0
2022-10-29,848,848.0
2022-10-30,137,137.0
2022-10-31,1184,1184.0
2022-11-01,4154,4154.0
2022-11-02,3705,3705.0
2022-11-03,1672,1672.0
2022-11-04,1201,1201.0
