Date,Quantite_capped
2021-10-20,1.0
2021-10-26,4.0
2021-10-29,29.0
2021-11-02,427.0
2021-11-03,64.0
2021-11-04,758.0
2021-11-16,9.0
2021-12-01,10.0
2021-12-07,46.0
2021-12-08,3.0
2021-12-21,49.0
2022-01-11,55.0
2022-03-01,1.0
2022-03-09,44.0
2022-03-17,1.0
2022-03-22,1.0
2022-03-31,8.0
2022-04-01,10.0
2022-05-02,40.0
2022-05-11,3.0
2022-05-28,1.0
2022-06-02,20.0
2022-06-10,2.0
2022-06-18,1.0
2022-06-30,869.0
2022-07-01,9268.560000000107
2022-07-02,5388.0
2022-07-04,9268.560000000107
2022-07-05,436.0
2022-07-06,6.0
2022-07-07,5259.0
2022-07-08,9268.560000000107
2022-07-09,9268.560000000107
2022-07-10,9268.560000000107
2022-07-11,3400.0
2022-07-12,4203.0
2022-07-13,3950.0
2022-07-14,9268.560000000107
2022-07-15,9268.560000000107
2022-07-16,3893.0
2022-07-17,4763.0
2022-07-18,1708.0
2022-07-19,1765.0
2022-07-20,1478.0
2022-07-21,1651.0
2022-07-22,1580.0
2022-07-23,2289.0
2022-07-24,178.0
2022-07-25,1170.0
2022-07-26,1070.0
2022-07-27,1565.0
2022-07-28,113.0
2022-07-29,11.0
2022-07-30,6.0
2022-08-01,9.0
2022-08-02,14.0
2022-08-03,10.0
2022-08-04,1019.0
2022-08-05,1396.0
2022-08-06,2351.0
2022-08-07,346.0
2022-08-08,1162.0
2022-08-09,4072.0
2022-08-10,6451.0
2022-08-11,1165.0
2022-08-12,919.0
2022-08-13,1131.0
2022-08-14,118.0
2022-08-15,400.0
2022-08-16,924.0
2022-08-17,954.0
2022-08-18,1027.0
2022-08-19,1021.0
2022-08-20,1293.0
2022-08-21,193.0
2022-08-22,788.0
2022-08-23,800.0
2022-08-24,799.0
2022-08-25,6650.0
2022-08-26,1549.0
2022-08-27,1630.0
2022-08-28,201.0
2022-08-29,932.0
2022-08-30,1125.0
2022-08-31,1232.0
2022-09-01,1248.0
2022-09-02,1347.0
2022-09-03,2074.0
2022-09-04,370.0
2022-09-05,867.0
2022-09-06,806.0
2022-09-07,1016.0
2022-09-08,1111.0
2022-09-09,1871.0
2022-09-10,1976.0
2022-09-11,224.0
2022-09-12,621.0
2022-09-13,553.0
2022-09-14,9268.560000000107
2022-09-15,1003.0
2022-09-16,1573.0
2022-09-17,1652.0
2022-09-18,328.0
2022-09-19,581.0
2022-09-20,9268.560000000107
2022-09-21,9268.560000000107
2022-09-22,924.0
2022-09-23,1174.0
2022-09-24,1928.0
2022-09-25,250.0
2022-09-26,4507.0
2022-09-27,900.0
2022-09-28,1307.0
2022-09-29,1059.0
2022-09-30,1355.0
2022-10-01,2291.0
2022-10-02,242.0
2022-10-03,970.0
2022-10-04,677.0
2022-10-05,1977.0
2022-10-06,1311.0
2022-10-07,1381.0
2022-10-08,1019.0
2022-10-09,793.0
2022-10-10,7006.0
2022-10-11,8243.0
2022-10-12,6173.0
2022-10-13,7792.0
2022-10-14,1279.0
2022-10-15,1003.0
2022-10-16,168.0
2022-10-17,8199.0
2022-10-18,8456.0
2022-10-19,4633.0
2022-10-20,6700.0
2022-10-21,1073.0
2022-10-22,951.0
2022-10-23,102.0
2022-10-24,4146.0
2022-10-25,1744.0
2022-10-26,7001.0
2022-10-27,1668.0
2022-10-28,1670.0
2022-10-29,848.0
2022-10-30,137.0
2022-10-31,1184.0
2022-11-01,4154.0
2022-11-02,3705.0
2022-11-03,1672.0
2022-11-04,1201.0
2022-11-05,777.0
2022-11-06,192.0
2022-11-07,5395.0
2022-11-08,4454.0
2022-11-09,8541.0
2022-11-10,2437.0
2022-11-11,628.0
2022-11-12,467.0
2022-11-13,33.0
2022-11-14,2020.0
2022-11-15,2708.0
2022-11-16,1590.0
2022-11-17,1294.0
2022-11-18,1801.0
2022-11-19,613.0
2022-11-20,93.0
2022-11-21,2011.0
2022-11-22,3044.0
2022-11-23,3246.0
2022-11-24,3585.0
2022-11-25,2516.0
2022-11-26,2719.0
2022-11-27,551.0
2022-11-28,2557.0
2022-11-29,1834.0
2022-11-30,1433.0
2022-12-01,2186.0
